ApplicationCode,AccountOwner,AccountName,AccountType,EntitlementName,SecondEntitlementName,ThirdEntitlementName,AccountStatus,IsPrivileged,AccountDescription,CreateDate,LastLogin,LastUpdatedDate,AdditionalAttribute,Country
MOCK1,2,3,4,5,6,7,8,9,10,20240705000000,20240705231510,20240705000000,14,TH
MOCK2,16,17,18,19,20,21,22,23,24,20240705000000,20240705231510,20240705000000,28,TH
MOCK1,2,3,4,5,6,7,8,9,10,20240706000000,20240706120457,20240706000000,14,TH
MOCK2,16,17,18,19,20,21,22,23,24,20240706000000,20240706120457,20240706000000,28,TH
MOCK1,2,3,4,5,6,7,8,9,10,20240707000000,20240707213803,20240707000000,14,TH
MOCK2,16,17,18,19,20,21,22,23,24,20240707000000,20240707213803,20240707000000,28,TH
MOCK1,2,3,4,5,6,7,8,9,10,20240708000000,20240708231717,20240708000000,14,TH
MOCK2,16,17,18,19,20,21,22,23,24,20240708000000,20240708231717,20240708000000,28,TH
MOCK1,2,3,4,5,6,7,8,9,10,20240709000000,20240709154815,20240709000000,14,TH
MOCK2,16,17,18,19,20,21,22,23,24,20240709000000,20240709154815,20240709000000,28,TH
MOCK1,2,3,4,5,6,7,8,9,10,20240710000000,20240710171837,20240710000000,14,TH
MOCK2,16,17,18,19,20,21,22,23,24,20240710000000,20240710171837,20240710000000,28,TH
