"ApplicationCode","AccountOwner","AccountName","AccountType","EntitlementName","SecondEntitlementName","ThirdEntitlementName","AccountStatus","IsPrivileged","AccountDescription","CreateDate","LastLogin","LastUpdatedDate","AdditionalAttribute","Country"
"IIC","2","3","4","5","6","7","8","9","10","20240713000000","20240713224925","20240713000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240713000000","20240713224925","20240713000000","28","TH"
"IIC","2","3","4","5","6","7","8","9","10","20240714000000","20240714215546","20240714000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240714000000","20240714215546","20240714000000","28","TH"
"IIC","2","3","4","5","6","7","8","9","10","20240717000000","20240717215446","20240717000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240717000000","20240717215446","20240717000000","28","TH"
"IIC","2","3","4","5","6","7","8","9","10","20240718000000","20240718223056","20240718000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240718000000","20240718223056","20240718000000","28","TH"
"IIC","2","3","4","5","6","7","8","9","10","20240719000000","20240719002547","20240719000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240719000000","20240719002547","20240719000000","28","TH"
"IIC","2","3","4","5","6","7","8","9","10","20240721000000","20240721104601","20240721000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240721000000","20240721104601","20240721000000","28","TH"
"IIC","2","3","4","5","6","7","8","9","10","20240722000000","20240722130614","20240722000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240722000000","20240722130614","20240722000000","28","TH"
"IIC","2","3","4","5","6","7","8","9","10","20240723000000","20240723092838","20240723000000","14","TH"
"IIC","16","17","18","19","20","21","22","23","24","20240723000000","20240723092838","20240723000000","28","TH"
"TotalCount","16"
